cpu_name,passmark_score,passmark_rank,passmark_value
Intel Core i7-10700TE @ 2.00GHz,13368,971,40.51
Intel Core i7-10710U @ 1.10GHz,9585,1200,14.86
Intel Core i7-10750H @ 2.60GHz,11863,1048,
Intel Core i7-10810U @ 1.10GHz,8160,1337,18.42
Intel Core i7-10850H @ 2.70GHz,11797,1054,29.87
Intel Core i7-10870H @ 2.20GHz,14431,909,34.61
Intel Core i7-10875H @ 2.30GHz,14882,874,33.07
Intel Core i7-11370H @ 3.30GHz,11690,1061,27.44
Intel Core i7-11375H @ 3.30GHz,11819,1052,24.52
Intel Core i7-11390H @ 3.40GHz,9929,1172,23.31
Intel Core i7-11600H @ 2.90GHz,16685,796,42.24
Intel Core i7-1160G7 @ 1.20GHz,9181,1239,21.55
Intel Core i7-1165G7 @ 2.80GHz,10194,1155,23.93
Intel Core i7-11700 @ 2.50GHz,19748,657,84.39
Intel Core i7-11700B @ 3.20GHz,22576,537,
Intel Core i7-11700F @ 2.50GHz,21000,601,84.0
Intel Core i7-11700K @ 3.60GHz,24599,467,99.22
Intel Core i7-11700KF @ 3.60GHz,23963,487,104.58
Intel Core i7-11700T @ 1.40GHz,15447,849,47.82
Intel Core i7-11800H @ 2.30GHz,20457,628,51.79
Intel Core i7-1180G7 @ 1.30GHz,8293,1322,19.47
Intel Core i7-11850H @ 2.50GHz,20512,626,51.93
Intel Core i7-11850HE @ 2.60GHz,18899,692,42.95
Intel Core i7-1185G7 @ 3.00GHz,10379,1142,24.36
Intel Core i7-1185G7E @ 2.80GHz,10256,1150,23.8
Intel Core i7-1185GRE @ 2.80GHz,8179,1335,
Intel Core i7-1195G7 @ 2.90GHz,10747,1123,25.23
Intel Core i7-1250U,11689,1062,27.44
Intel Core i7-1255U,13635,947,32.01
Intel Core i7-1260P,17035,779,
Intel Core i7-1260U,14127,927,
Intel Core i7-12650H,22589,536,49.43
Intel Core i7-12650HX,20612,621,43.67
Intel Core i7-1265U,13796,941,32.38
Intel Core i7-1265UE,9471,1207,20.06
Intel Core i7-12700,30796,304,114.82
Intel Core i7-12700E,29384,332,85.42
Intel Core i7-12700F,30660,307,123.14
Intel Core i7-12700H,26151,417,57.22
Intel Core i7-12700K,34608,247,84.62
Intel Core i7-12700KF,34378,253,164.49
Intel Core i7-12700T,21542,581,63.55
Intel Core i7-12700TE,17189,769,49.97
Intel Core i7-1270P,17430,763,
Intel Core i7-1270PE,17960,738,40.73
Intel Core i7-12800H,24815,459,54.3
Intel Core i7-12800HE,29805,326,58.9
Intel Core i7-12800HX,32152,283,70.35
Intel Core i7-1280P,20392,631,42.31
Intel Core i7-12850HX,30661,306,71.64
Intel Core i7-1355U,14818,881,31.6
Intel Core i7-1360P,19173,677,39.94
Intel Core i7-13620H,25012,451,49.83
Intel Core i7-13650HX,31405,295,64.75
Intel Core i7-1365U,14851,876,34.86
Intel Core i7-1365URE,10278,1147,22.2
Intel Core i7-13700,37044,227,115.77
Intel Core i7-13700E,34728,244,89.05
Intel Core i7-13700F,38870,212,115.13
Intel Core i7-13700H,27255,388,54.29
Intel Core i7-13700HX,33668,266,69.42
Intel Core i7-13700K,46458,155,132.74
Intel Core i7-13700KF,46369,156,154.57
Intel Core i7-13700T,27237,390,70.93
Intel Core i7-13700TE,23074,517,59.16
Intel Core i7-13705H,23662,497,47.14
Intel Core i7-1370P,20157,640,
Intel Core i7-1370PRE,14103,930,29.57
Intel Core i7-13790F,46309,157,100.89
Intel Core i7-13800H,27089,394,59.28
Intel Core i7-13800HRE,9781,1183,19.72
Intel Core i7-13850HX,37965,217,88.7
Intel Core i7-14650HX,36753,228,74.25
Intel Core i7-14700,43532,181,114.56
Intel Core i7-14700F,43952,179,124.51
Intel Core i7-14700HX,37263,225,75.28
Intel Core i7-14700K,53313,120,137.64
Intel Core i7-14700KF,53198,121,135.37
Intel Core i7-14700T,31416,294,81.81
Intel Core i7-2600 @ 3.40GHz,5346,1813,59.41
Intel Core i7-2600K @ 3.40GHz,5489,1783,69.48
Intel Core i7-2600S @ 2.80GHz,4628,1942,38.89
Intel Core i7-2610UE @ 1.50GHz,1409,3383,
Intel Core i7-2617M @ 1.50GHz,1687,3183,
Intel Core i7-2620M @ 2.70GHz,2423,2721,30.76
Intel Core i7-2630QM @ 2.00GHz,3553,2220,18.7
Intel Core i7-2630UM @ 1.60GHz,400,4434,
Intel Core i7-2635QM @ 2.00GHz,3406,2269,
Intel Core i7-2637M @ 1.70GHz,1854,3070,
Intel Core i7-2640M @ 2.80GHz,2465,2697,29.66
Intel Core i7-2655LE @ 2.20GHz,1999,2977,
Intel Core i7-2670QM @ 2.20GHz,3739,2167,47.92
Intel Core i7-2675QM @ 2.20GHz,3828,2137,
Intel Core i7-2677M @ 1.80GHz,1912,3030,
Intel Core i7-2700K @ 3.50GHz,5748,1718,64.59
Intel Core i7-2710QE @ 2.10GHz,4044,2084,
Intel Core i7-2715QE @ 2.10GHz,3221,2355,
Intel Core i7-2720QM @ 2.20GHz,4000,2091,47.06
Intel Core i7-2760QM @ 2.40GHz,4374,2000,35.85
Intel Core i7-2820QM @ 2.30GHz,4372,2003,11.82
Intel Core i7-2840QM @ 2.40GHz,3842,2136,
Intel Core i7-2860QM @ 2.50GHz,4521,1961,45.21
Intel Core i7-2920XM @ 2.50GHz,4240,2030,35.33
Intel Core i7-2960XM @ 2.70GHz,4754,1916,17.07
Intel Core i7-3517U @ 1.90GHz,2083,2927,
Intel Core i7-3517UE @ 1.70GHz,2384,2746,
Intel Core i7-3520M @ 2.90GHz,2868,2509,23.5
Intel Core i7-3537U @ 2.00GHz,2339,2777,
Intel Core i7-3540M @ 3.00GHz,2977,2461,27.56
Intel Core i7-3555LE @ 2.50GHz,2238,2840,
Intel Core i7-3610QE @ 2.30GHz,5026,1880,
Intel Core i7-3610QM @ 2.30GHz,5120,1861,17.07
Intel Core i7-3612QE @ 2.10GHz,4929,1892,
Intel Core i7-3612QM @ 2.10GHz,4657,1935,
Intel Core i7-3615QE @ 2.30GHz,5601,1758,
Intel Core i7-3615QM @ 2.30GHz,5194,1847,
Intel Core i7-3630QM @ 2.40GHz,5117,1862,22.34
Intel Core i7-3632QM @ 2.20GHz,4700,1926,69.09
Intel Core i7-3635QM @ 2.40GHz,4816,1908,
Intel Core i7-3667U @ 2.00GHz,2402,2731,
Intel Core i7-3687U @ 2.10GHz,2645,2600,
Intel Core i7-3689Y @ 1.50GHz,1967,2993,
Intel Core i7-3720QM @ 2.60GHz,5669,1741,56.71
Intel Core i7-3740QM @ 2.70GHz,5694,1732,26.12
Intel Core i7-3770 @ 3.40GHz,6413,1598,130.89
Intel Core i7-3770K @ 3.50GHz,6465,1584,99.54
Intel Core i7-3770S @ 3.10GHz,6179,1644,104.73
Intel Core i7-3770T @ 2.50GHz,5444,1794,34.77
Intel Core i7-3820 @ 3.60GHz,5765,1714,164.75
Intel Core i7-3820QM @ 2.70GHz,5630,1748,10.26
Intel Core i7-3840QM @ 2.80GHz,5909,1694,10.76
Intel Core i7-3920XM @ 2.90GHz,5710,1728,5.21
Intel Core i7-3930K @ 3.20GHz,8205,1333,164.13
Intel Core i7-3940XM @ 3.00GHz,5830,1702,16.95
Intel Core i7-3960X @ 3.30GHz,8446,1306,30.73
Intel Core i7-3970X @ 3.50GHz,8541,1293,123.78
Intel Core i7-4500U @ 1.80GHz,2484,2685,
Intel Core i7-4510U @ 2.00GHz,2591,2627,
Intel Core i7-4550U @ 1.50GHz,2272,2811,
Intel Core i7-4558U @ 2.80GHz,3013,2440,
Intel Core i7-4560U @ 1.60GHz,2950,2473,
Intel Core i7-4578U @ 3.00GHz,3101,2405,
Intel Core i7-4600M @ 2.90GHz,3186,2370,
Intel Core i7-4600U @ 2.10GHz,2717,2566,
Intel Core i7-4610M @ 3.00GHz,3217,2359,
Intel Core i7-4610Y @ 1.70GHz,2446,2706,
Intel Core i7-4650U @ 1.70GHz,2460,2700,
Intel Core i7-4700EQ @ 2.40GHz,5417,1800,
Intel Core i7-4700HQ @ 2.40GHz,5631,1747,14.7
Intel Core i7-4700MQ @ 2.40GHz,5345,1814,28.43
Intel Core i7-4702HQ @ 2.20GHz,5339,1815,
Intel Core i7-4702MQ @ 2.20GHz,5184,1849,14.73
Intel Core i7-4710HQ @ 2.50GHz,5537,1773,14.65
Intel Core i7-4710MQ @ 2.50GHz,5844,1701,21.52
Intel Core i7-4712HQ @ 2.30GHz,5352,1812,133.84
Intel Core i7-4712MQ @ 2.30GHz,5300,1824,
Intel Core i7-4720HQ @ 2.60GHz,5769,1712,
Intel Core i7-4722HQ @ 2.40GHz,5620,1752,
Intel Core i7-4750HQ @ 2.00GHz,5687,1733,
Intel Core i7-4760HQ @ 2.10GHz,6300,1620,
Intel Core i7-4765T @ 2.00GHz,5127,1859,10.27
Intel Core i7-4770 @ 3.40GHz,7059,1480,94.19
Intel Core i7-4770HQ @ 2.20GHz,6065,1670,
Intel Core i7-4770K @ 3.50GHz,7131,1473,52.82
Intel Core i7-4770R @ 3.20GHz,6620,1556,
Intel Core i7-4770S @ 3.10GHz,6747,1534,78.81
Intel Core i7-4770T @ 2.50GHz,5973,1688,79.65
Intel Core i7-4770TE @ 2.30GHz,4877,1899,
Intel Core i7-4771 @ 3.50GHz,7137,1471,55.32
Intel Core i7-4785T @ 2.20GHz,5503,1778,
Intel Core i7-4790 @ 3.60GHz,7269,1453,121.26
Intel Core i7-4790K @ 4.00GHz,8066,1350,80.74
Intel Core i7-4790S @ 3.20GHz,7011,1493,72.15
Intel Core i7-4790T @ 2.70GHz,6346,1611,25.39
Intel Core i7-4800MQ @ 2.70GHz,5712,1725,23.8
Intel Core i7-4810MQ @ 2.80GHz,6066,1669,33.71
Intel Core i7-4820K @ 3.70GHz,6495,1577,80.63
Intel Core i7-4850HQ @ 2.30GHz,6133,1652,14.13
Intel Core i7-4860EQ @ 1.80GHz,5500,1779,
Intel Core i7-4860HQ @ 2.40GHz,6242,1630,
Intel Core i7-4870HQ @ 2.50GHz,6309,1616,
Intel Core i7-4900MQ @ 2.80GHz,6109,1656,30.55
Intel Core i7-4910MQ @ 2.90GHz,6235,1632,13.56
Intel Core i7-4930K @ 3.40GHz,9402,1212,156.73
Intel Core i7-4930MX @ 3.00GHz,6348,1609,5.79
Intel Core i7-4940MX @ 3.10GHz,6828,1520,9.75
Intel Core i7-4960HQ @ 2.60GHz,6344,1612,10.18
Intel Core i7-4960X @ 3.60GHz,10062,1160,56.21
Intel Core i7-4980HQ @ 2.80GHz,6525,1573,
Intel Core i7-5500U @ 2.40GHz,2784,2539,
Intel Core i7-5550U @ 2.00GHz,2864,2511,
Intel Core i7-5557U @ 3.10GHz,3092,2408,5.1
Intel Core i7-5600U @ 2.60GHz,3038,2429,
Intel Core i7-5650U @ 2.20GHz,3011,2441,
Intel Core i7-5675C @ 3.10GHz,6089,1661,
Intel Core i7-5700EQ @ 2.60GHz,5803,1707,
Intel Core i7-5700HQ @ 2.70GHz,6059,1672,
Intel Core i7-5775C @ 3.30GHz,7693,1384,44.0
Intel Core i7-5775R @ 3.30GHz,7609,1394,
Intel Core i7-5820K @ 3.30GHz,9845,1180,70.83
Intel Core i7-5850EQ @ 2.70GHz,7036,1489,16.17
Intel Core i7-5850HQ @ 2.70GHz,6866,1517,15.82
Intel Core i7-5930K @ 3.50GHz,10325,1146,46.43
Intel Core i7-5950HQ @ 2.90GHz,7807,1373,
Intel Core i7-5960X @ 3.00GHz,12741,1005,60.96
Intel Core i7-610E @ 2.53GHz,2071,2936,
Intel Core i7-620LM @ 2.00GHz,1406,3389,
Intel Core i7-620M @ 2.67GHz,1979,2988,11.31
Intel Core i7-620UM @ 1.07GHz,1010,3752,
Intel Core i7-640LM @ 2.13GHz,1525,3298,
Intel Core i7-640M @ 2.80GHz,2065,2941,14.56
Intel Core i7-640UM @ 1.20GHz,1183,3568,
Intel Core i7-6498DU @ 2.50GHz,3454,2247,
Intel Core i7-6500U @ 2.50GHz,3275,2332,8.33
Intel Core i7-6560U @ 2.20GHz,3358,2298,
Intel Core i7-6567U @ 3.30GHz,3673,2186,
Intel Core i7-6600U @ 2.60GHz,3430,2258,
Intel Core i7-660UM @ 1.33GHz,1284,3469,
Intel Core i7-6650U @ 2.20GHz,3605,2207,
Intel Core i7-6660U @ 2.40GHz,3592,2212,8.66
Intel Core i7-6700 @ 3.40GHz,8081,1348,103.73
Intel Core i7-6700HQ @ 2.60GHz,6523,1574,17.26
Intel Core i7-6700K @ 4.00GHz,8929,1261,85.04
Intel Core i7-6700T @ 2.80GHz,7213,1460,80.98
Intel Core i7-6700TE @ 2.40GHz,6135,1650,
Intel Core i7-6770HQ @ 2.60GHz,7087,1479,11.45
Intel Core i7-6800K @ 3.40GHz,10769,1121,119.65
Intel Core i7-680UM @ 1.47GHz,1196,3556,
Intel Core i7-6820EQ @ 2.80GHz,7001,1495,
Intel Core i7-6820HK @ 2.70GHz,7053,1482,18.66
Intel Core i7-6820HQ @ 2.70GHz,6820,1522,
Intel Core i7-6822EQ @ 2.00GHz,5241,1837,
Intel Core i7-6850K @ 3.60GHz,11466,1074,109.2
Intel Core i7-6900K @ 3.20GHz,14476,902,120.64
Intel Core i7-6920HQ @ 2.90GHz,7351,1437,12.94
Intel Core i7-6950X @ 3.00GHz,17388,765,79.04
Intel Core i7-6970HQ @ 2.80GHz,4632,1940,
Intel Core i7-720QM @ 1.60GHz,1651,3204,5.51
Intel Core i7-740QM @ 1.73GHz,1824,3092,9.6
Intel Core i7-7500U @ 2.70GHz,3646,2197,6.77
Intel Core i7-7560U @ 2.40GHz,3792,2150,
Intel Core i7-7567U @ 3.50GHz,4073,2075,5.55
Intel Core i7-7600U @ 2.80GHz,3708,2177,
Intel Core i7-7660U @ 2.50GHz,4075,2074,
Intel Core i7-7700 @ 3.60GHz,8646,1279,83.94
Intel Core i7-7700HQ @ 2.80GHz,6907,1514,18.27
Intel Core i7-7700K @ 4.20GHz,9649,1193,68.88
Intel Core i7-7700T @ 2.90GHz,7581,1399,54.89
Intel Core i7-7740X @ 4.30GHz,9607,1198,80.09
Intel Core i7-7800X @ 3.50GHz,12885,998,58.84
Intel Core i7-7820EQ @ 3.00GHz,7542,1403,19.95
Intel Core i7-7820HK @ 2.90GHz,7385,1428,19.54
Intel Core i7-7820HQ @ 2.90GHz,7170,1466,18.97
Intel Core i7-7820X @ 3.60GHz,17164,771,190.74
Intel Core i7-7900X @ 3.30GHz,21008,600,
Intel Core i7-7920HQ @ 3.10GHz,7362,1435,12.96
Intel Core i7-7Y75 @ 1.30GHz,2644,2601,
Intel Core i7-8086K @ 4.00GHz,14275,916,65.18
Intel Core i7-820QM @ 1.73GHz,1774,3135,13.75
Intel Core i7-840QM @ 1.87GHz,1945,3007,5.74
Intel Core i7-8500Y @ 1.50GHz,2474,2690,6.29
Intel Core i7-8550U @ 1.80GHz,5904,1695,
Intel Core i7-8557U @ 1.70GHz,7342,1438,17.04
Intel Core i7-8559U @ 2.70GHz,8380,1312,13.58
Intel Core i7-8565U @ 1.80GHz,6071,1666,9.87
Intel Core i7-8565UC @ 1.80GHz,6187,1641,
Intel Core i7-8569U @ 2.80GHz,8230,1329,19.1
Intel Core i7-860 @ 2.80GHz,2994,2448,62.38
Intel Core i7-860S @ 2.53GHz,2280,2806,22.8
Intel Core i7-8650U @ 1.90GHz,6268,1626,5.98
Intel Core i7-8665U @ 1.90GHz,6247,1628,8.87
Intel Core i7-8665UE @ 1.70GHz,5170,1851,12.64
Intel Core i7-870 @ 2.93GHz,3130,2390,78.27
Intel Core i7-8700 @ 3.20GHz,12843,1000,89.5
Intel Core i7-8700B @ 3.20GHz,11900,1046,39.27
Intel Core i7-8700K @ 3.70GHz,13628,948,86.44
Intel Core i7-8700T @ 2.40GHz,10177,1156,51.14
Intel Core i7-8705G @ 3.10GHz,7689,1385,5.01
Intel Core i7-8706G @ 3.10GHz,7287,1447,
Intel Core i7-8709G @ 3.10GHz,7947,1359,
Intel Core i7-870S @ 2.67GHz,2765,2550,
Intel Core i7-8750H @ 2.20GHz,9888,1175,25.03
Intel Core i7-875K @ 2.93GHz,3090,2409,15.45
Intel Core i7-880 @ 3.07GHz,3319,2312,47.42
Intel Core i7-8809G @ 3.10GHz,8546,1291,
Intel Core i7-8850H @ 2.60GHz,10212,1152,25.85
Intel Core i7-920 @ 2.67GHz,2837,2523,31.53
Intel Core i7-920XM @ 2.00GHz,1950,3002,4.89
Intel Core i7-930 @ 2.80GHz,2962,2465,186.53
Intel Core i7-940 @ 2.93GHz,2947,2474,8.47
Intel Core i7-940XM @ 2.13GHz,2187,2870,
Intel Core i7-950 @ 3.07GHz,3213,2360,32.13
Intel Core i7-960 @ 3.20GHz,3347,2299,68.3
Intel Core i7-965 @ 3.20GHz,3424,2262,85.61
Intel Core i7-970 @ 3.20GHz,6546,1566,12.51
Intel Core i7-9700 @ 3.00GHz,13167,978,77.5
Intel Core i7-9700E @ 2.60GHz,12600,1015,39.01
Intel Core i7-9700F @ 3.00GHz,13249,975,77.94
Intel Core i7-9700K @ 3.60GHz,14459,903,76.91
Intel Core i7-9700KF @ 3.60GHz,14258,918,74.26
Intel Core i7-9700T @ 2.00GHz,10782,1120,33.38
Intel Core i7-9700TE @ 1.80GHz,10203,1153,31.59
Intel Core i7-975 @ 3.33GHz,3493,2239,7.63
Intel Core i7-9750H @ 2.60GHz,10818,1119,11.27
Intel Core i7-9750HF @ 2.60GHz,10608,1127,26.86
Intel Core i7-980 @ 3.33GHz,6936,1509,23.85
Intel Core i7-9800X @ 3.80GHz,18091,734,54.99
Intel Core i7-980X @ 3.33GHz,6811,1525,117.45
Intel Core i7-985 @ 3.47GHz,3928,2107,
Intel Core i7-9850H @ 2.60GHz,11041,1099,8.46
Intel Core i7-9850HE @ 2.70GHz,10868,1116,27.51
Intel Core i7-9850HL @ 1.90GHz,7897,1364,19.99
Intel Core i7-990X @ 3.47GHz,7111,1477,71.12
Intel Core i7-995X @ 3.60GHz,7862,1368,
Intel Core i9-10850K @ 3.60GHz,22387,548,86.1
Intel Core i9-10880H @ 2.30GHz,14642,894,
Intel Core i9-10885H @ 2.40GHz,14845,878,26.7
Intel Core i9-10900 @ 2.80GHz,19841,653,46.25
Intel Core i9-10900E @ 2.80GHz,19456,668,43.82
Intel Core i9-10900F @ 2.80GHz,19949,649,91.51
Intel Core i9-10900K @ 3.70GHz,22804,527,45.7
Intel Core i9-10900KF @ 3.70GHz,22533,540,90.49
Intel Core i9-10900T @ 1.90GHz,14822,879,42.35
Intel Core i9-10900TE @ 1.80GHz,16251,814,36.6
Intel Core i9-10900X @ 3.70GHz,22479,542,39.79
Intel Core i9-10910 @ 3.60GHz,21445,584,
Intel Core i9-10920X @ 3.50GHz,26167,416,39.71
Intel Core i9-10940X @ 3.30GHz,27902,367,38.75
Intel Core i9-10980HK @ 2.40GHz,15433,850,26.47
Intel Core i9-10980XE @ 3.00GHz,32774,274,40.21
Intel Core i9-11900 @ 2.50GHz,22826,526,84.55
Intel Core i9-11900F @ 2.50GHz,22289,551,106.14
Intel Core i9-11900H @ 2.50GHz,20576,622,37.69
Intel Core i9-11900K @ 3.50GHz,25251,441,105.22
Intel Core i9-11900KB @ 3.30GHz,22907,521,42.5
Intel Core i9-11900KF @ 3.50GHz,25020,450,96.23
Intel Core i9-11900T @ 1.50GHz,18968,690,43.21
Intel Core i9-11950H @ 2.60GHz,21202,590,38.13
Intel Core i9-11980HK @ 2.60GHz,22866,524,39.22
Intel Core i9-12900,34279,255,83.06
Intel Core i9-12900E,26666,402,
Intel Core i9-12900F,36408,232,118.24
Intel Core i9-12900H,27986,364,45.36
Intel Core i9-12900HK,27364,384,43.09
Intel Core i9-12900HX,34066,259,56.22
Intel Core i9-12900K,41477,192,143.72
Intel Core i9-12900KF,41130,195,140.38
Intel Core i9-12900KS,44007,177,126.09
Intel Core i9-12900T,30056,322,61.46
Intel Core i9-12900TE,35057,242,64.44
Intel Core i9-12950HX,32323,281,54.78
Intel Core i9-13900,47234,151,95.08
Intel Core i9-13900E,34049,260,61.46
Intel Core i9-13900F,51080,130,117.43
Intel Core i9-13900H,28810,342,46.69
Intel Core i9-13900HK,31569,292,45.29
Intel Core i9-13900HX,44237,174,66.22
Intel Core i9-13900K,59100,89,123.13
Intel Core i9-13900KF,58456,93,119.27
Intel Core i9-13900KS,61628,78,105.35
Intel Core i9-13900T,44089,175,80.31
Intel Core i9-13900TE,15819,834,28.55
Intel Core i9-13905H,30184,317,43.31
Intel Core i9-13950HX,43673,180,74.02
Intel Core i9-13980HX,47304,150,70.81
Intel Core i9-14900,47737,148,77.63
Intel Core i9-14900F,47923,146,91.87
Intel Core i9-14900HX,45782,164,67.43
Intel Core i9-14900K,60323,84,104.91
Intel Core i9-14900KF,59542,86,82.3
Intel Core i9-14900KS,62615,71,102.2
Intel Core i9-14900T,40277,202,73.36
Intel Core i9-7900X @ 3.30GHz,21086,595,64.88
Intel Core i9-7920X @ 2.90GHz,23680,496,79.2
Intel Core i9-7940X @ 3.10GHz,26036,419,83.72
Intel Core i9-7960X @ 2.80GHz,28810,343,57.85
Intel Core i9-7980XE @ 2.60GHz,30108,320,30.95
Intel Core i9-8950HK @ 2.90GHz,10492,1134,18.0
Intel Core i9-9820X @ 3.30GHz,20148,642,44.77
Intel Core i9-9880H @ 2.30GHz,13698,944,24.64
Intel Core i9-9900 @ 3.10GHz,16490,803,41.33
Intel Core i9-9900B @ 3.10GHz,9060,1251,
Intel Core i9-9900K @ 3.60GHz,18268,724,56.73
Intel Core i9-9900KF @ 3.60GHz,18263,725,64.53
Intel Core i9-9900KS @ 4.00GHz,19473,666,48.68
Intel Core i9-9900T @ 2.10GHz,12960,994,29.52
Intel Core i9-9900X @ 3.50GHz,21847,570,81.22
Intel Core i9-9920X @ 3.50GHz,25163,445,50.82
Intel Core i9-9940X @ 3.30GHz,27976,366,29.17
Intel Core i9-9960X @ 3.10GHz,30360,314,64.73
Intel Core i9-9980HK @ 2.40GHz,14125,928,24.23
Intel Core i9-9980XE @ 3.00GHz,31979,287,45.69
Intel Core i9-9990XE @ 4.00GHz,30162,318,13.94
Intel Core M-5Y10 @ 0.80GHz,1628,3218,
Intel Core M-5Y10a @ 0.80GHz,1905,3038,
Intel Core M-5Y10c @ 0.80GHz,1892,3051,6.73
Intel Core M-5Y31 @ 0.90GHz,1899,3045,
Intel Core M-5Y51 @ 1.10GHz,2009,2970,
Intel Core M-5Y70 @ 1.10GHz,1823,3094,
Intel Core M-5Y71 @ 1.20GHz,2032,2956,7.23
Intel Core m3-6Y30 @ 0.90GHz,2166,2882,7.71
Intel Core m3-7Y30 @ 1.00GHz,2586,2631,
Intel Core m3-7Y32 @ 1.10GHz,2733,2562,
Intel Core m3-8100Y @ 1.10GHz,2874,2505,10.23
Intel Core m5-6Y54 @ 1.10GHz,2271,2813,
Intel Core m5-6Y57 @ 1.10GHz,2352,2767,
Intel Core m5-7Y54 @ 1.20GHz,1475,3329,
Intel Core m7-6Y75 @ 1.20GHz,2338,2778,
Intel Core Solo T1300 @ 1.66GHz,210,4693,
Intel Core Solo T1350 @ 1.86GHz,194,4720,
Intel Core Solo T1400 @ 1.83GHz,253,4628,
Intel Core Solo U1300 @ 1.06GHz,127,4813,
Intel Core Solo U1400 @ 1.20GHz,130,4811,
Intel Core Solo U1500 @ 1.33GHz,164,4765,
Intel Core Ultra 5 125H,22409,546,
Intel Core Ultra 5 125U,17740,747,48.87
Intel Core Ultra 5 134U,11783,1055,35.49
Intel Core Ultra 5 135H,22878,523,
Intel Core Ultra 5 135U,17677,750,
Intel Core Ultra 7 155H,25050,448,
Intel Core Ultra 7 155U,16768,791,34.22
Intel Core Ultra 7 164U,15106,863,
Intel Core Ultra 7 165H,26102,418,
Intel Core Ultra 7 165U,17524,755,
Intel Core Ultra 7 258V,19148,679,
Intel Core Ultra 9 185H,29441,331,
Intel Core2 Duo E4300 @ 1.80GHz,593,4217,15.2
Intel Core2 Duo E4400 @ 2.00GHz,701,4091,35.04
Intel Core2 Duo E4500 @ 2.20GHz,739,4047,67.15
Intel Core2 Duo E4600 @ 2.40GHz,870,3890,5.51
Intel Core2 Duo E4700 @ 2.60GHz,908,3853,33.63
Intel Core2 Duo E6300 @ 1.86GHz,634,4174,7.05
Intel Core2 Duo E6320 @ 1.86GHz,717,4071,17.94
Intel Core2 Duo E6400 @ 2.13GHz,780,3998,26.05
Intel Core2 Duo E6420 @ 2.13GHz,760,4018,19.0
Intel Core2 Duo E6540 @ 2.33GHz,808,3962,
Intel Core2 Duo E6550 @ 2.33GHz,898,3864,67.54
Intel Core2 Duo E6600 @ 2.40GHz,942,3822,8.4
Intel Core2 Duo E6700 @ 2.66GHz,990,3773,33.02
Intel Core2 Duo E6750 @ 2.66GHz,1013,3745,98.39
Intel Core2 Duo E6850 @ 3.00GHz,1130,3620,22.08
Intel Core2 Duo E7200 @ 2.53GHz,996,3767,21.19
Intel Core2 Duo E7300 @ 2.66GHz,942,3821,18.85
Intel Core2 Duo E7400 @ 2.80GHz,1027,3730,20.96
Intel Core2 Duo E7500 @ 2.93GHz,1136,3618,11.4
Intel Core2 Duo E7600 @ 3.06GHz,1165,3587,9.72
Intel Core2 Duo E8135 @ 2.40GHz,973,3790,
Intel Core2 Duo E8135 @ 2.66GHz,1112,3636,
Intel Core2 Duo E8200 @ 2.66GHz,1119,3631,14.72
Intel Core2 Duo E8235 @ 2.80GHz,1020,3738,
Intel Core2 Duo E8290 @ 2.83GHz,1408,3385,
Intel Core2 Duo E8300 @ 2.83GHz,997,3765,49.86
Intel Core2 Duo E8335 @ 2.66GHz,1057,3697,
Intel Core2 Duo E8335 @ 2.93GHz,1002,3758,
Intel Core2 Duo E8400 @ 3.00GHz,1205,3548,15.65
Intel Core2 Duo E8435 @ 3.06GHz,1104,3646,18.41
Intel Core2 Duo E8500 @ 3.16GHz,1271,3482,64.37
Intel Core2 Duo E8600 @ 3.33GHz,1376,3408,18.0
Intel Core2 Duo L7100 @ 1.20GHz,467,4362,
Intel Core2 Duo L7300 @ 1.40GHz,536,4290,
Intel Core2 Duo L7400 @ 1.50GHz,516,4317,
Intel Core2 Duo L7500 @ 1.60GHz,657,4150,
Intel Core2 Duo L7700 @ 1.80GHz,607,4201,
Intel Core2 Duo L7800 @ 2.00GHz,680,4123,
Intel Core2 Duo L9300 @ 1.60GHz,690,4107,
Intel Core2 Duo L9600 @ 2.13GHz,788,3987,
Intel Core2 Duo P7350 @ 2.00GHz,748,4035,37.43
Intel Core2 Duo P7370 @ 2.00GHz,790,3983,
Intel Core2 Duo P7450 @ 2.13GHz,783,3992,19.58
Intel Core2 Duo P7550 @ 2.26GHz,856,3903,3.72
Intel Core2 Duo P7570 @ 2.26GHz,845,3921,
Intel Core2 Duo P8400 @ 2.26GHz,850,3911,2.86
Intel Core2 Duo P8600 @ 2.40GHz,845,3920,17.18
Intel Core2 Duo P8700 @ 2.53GHz,961,3802,11.31
Intel Core2 Duo P8800 @ 2.66GHz,937,3825,16.44
Intel Core2 Duo P9300 @ 2.26GHz,952,3812,
Intel Core2 Duo P9500 @ 2.53GHz,993,3770,0.99
Intel Core2 Duo P9600 @ 2.53GHz,1040,3714,46.23
Intel Core2 Duo P9600 @ 2.66GHz,1088,3659,
Intel Core2 Duo P9700 @ 2.80GHz,1149,3607,
Intel Core2 Duo SL9400 @ 1.86GHz,759,4019,3.0
Intel Core2 Duo SP9400 @ 2.40GHz,863,3896,3.04
Intel Core2 Duo SU9400 @ 1.40GHz,503,4325,
Intel Core2 Duo T5200 @ 1.60GHz,470,4358,
Intel Core2 Duo T5250 @ 1.50GHz,549,4279,6.11
Intel Core2 Duo T5270 @ 1.40GHz,427,4394,
