cpu_name,passmark_score,passmark_rank,passmark_value
AMD Athlon 64 X2 Dual Core 4400+,675,4128,2.26
AMD Athlon 64 X2 Dual Core 4600+,720,4069,2.06
AMD Athlon 64 X2 Dual Core 4800+,679,4124,4.53
AMD Athlon 64 X2 Dual Core 5000+,786,3988,2.37
AMD Athlon 64 X2 Dual Core 5200+,846,3917,14.1
AMD Athlon 64 X2 Dual Core 5400+,907,3855,17.11
AMD Athlon 64 X2 Dual Core 5600+,907,3854,8.46
AMD Athlon 64 X2 Dual Core 5800+,653,4155,21.81
AMD Athlon 64 X2 Dual Core 6000+,934,3827,24.27
AMD Athlon 64 X2 Dual Core 6400+,998,3763,3.99
AMD Athlon 64 X2 Dual Core BE-2300,594,4216,
AMD Athlon 64 X2 Dual Core BE-2350,573,4242,
AMD Athlon 64 X2 Dual-Core TK-42,577,4238,
AMD Athlon 64 X2 Dual-Core TK-53,558,4266,
AMD Athlon 64 X2 Dual-Core TK-55,518,4311,7.13
AMD Athlon 64 X2 Dual-Core TK-57,620,4191,
AMD Athlon 64 X2 QL-60,652,4157,
AMD Athlon 64 X2 QL-62,525,4306,
AMD Athlon 64 X2 QL-64,624,4187,
AMD Athlon 64 X2 QL-65,637,4172,28.95
AMD Athlon 64 X2 QL-66,641,4167,
AMD Athlon 64 X2 QL-67,582,4232,
AMD Athlon 7450 Dual-Core,789,3984,
AMD Athlon 7550 Dual-Core,900,3862,60.23
AMD Athlon 7750 Dual-Core,987,3775,12.34
AMD Athlon 7850 Dual-Core,1058,3696,15.32
AMD Athlon Dual Core 4050e,674,4130,
AMD Athlon Dual Core 4450B,711,4077,22.92
AMD Athlon Dual Core 4450e,705,4083,48.71
AMD Athlon Dual Core 4850B,727,4063,
AMD Athlon Dual Core 4850e,783,3993,20.06
AMD Athlon Dual Core 5000B,856,3902,9.02
AMD Athlon Dual Core 5050e,846,3918,14.1
AMD Athlon Dual Core 5200B,823,3945,
AMD Athlon Dual Core 5400B,914,3843,
AMD Athlon Dual Core 5600B,737,4050,
AMD Athlon Gold 3150C,3292,2325,
AMD Athlon Gold 3150G,7112,1475,
AMD Athlon Gold 3150U,3992,2092,
AMD Athlon Gold 7220U,4740,1920,
AMD Athlon Gold PRO 3150G,7702,1382,
AMD Athlon Gold PRO 3150GE,7006,1494,
AMD Athlon Gold PRO 4150GE,8259,1326,
AMD Athlon II 160u,358,4481,11.93
AMD Athlon II 170u,355,4485,14.78
AMD Athlon II Dual-Core M300,670,4135,
AMD Athlon II Dual-Core M320,743,4042,24.75
AMD Athlon II Dual-Core M340,807,3963,
AMD Athlon II N330 Dual-Core,665,4141,
AMD Athlon II N350 Dual-Core,767,4011,
AMD Athlon II N370 Dual-Core,899,3863,
AMD Athlon II Neo K125,315,4543,
AMD Athlon II Neo K145,298,4567,
AMD Athlon II Neo K325 Dual-Core,417,4408,16.04
AMD Athlon II Neo K345 Dual-Core,527,4304,
AMD Athlon II Neo N36L Dual-Core,487,4342,
AMD Athlon II P320 Dual-Core,702,4089,35.18
AMD Athlon II P340 Dual-Core,697,4093,17.45
AMD Athlon II P360 Dual-Core,730,4059,36.6
AMD Athlon II X2 210e,1105,3644,38.79
AMD Athlon II X2 215,973,3791,33.58
AMD Athlon II X2 220,1041,3713,17.37
AMD Athlon II X2 235e,1079,3674,11.07
AMD Athlon II X2 240,1037,3717,41.57
AMD Athlon II X2 240e,987,3777,26.05
AMD Athlon II X2 245,1110,3637,27.85
AMD Athlon II X2 245e,1171,3580,58.66
AMD Athlon II X2 250,1160,3594,33.19
AMD Athlon II X2 250e,1155,3600,15.05
AMD Athlon II X2 250u,597,4213,23.94
AMD Athlon II X2 255,1175,3578,93.62
AMD Athlon II X2 260,1178,3577,94.3
AMD Athlon II X2 260u,713,4074,8.54
AMD Athlon II X2 265,1267,3487,12.67
AMD Athlon II X2 270,1301,3456,34.19
AMD Athlon II X2 270u,675,4126,9.98
AMD Athlon II X2 280,1355,3420,17.62
AMD Athlon II X2 4300e,990,3772,
AMD Athlon II X2 4400e,944,3819,
AMD Athlon II X2 4450e,867,3894,
AMD Athlon II X2 B22,1053,3704,40.57
AMD Athlon II X2 B24,1120,3630,46.46
AMD Athlon II X2 B26,1206,3547,48.35
AMD Athlon II X2 B28,1269,3484,32.53
AMD Athlon II X3 400e,1320,3446,51.8
AMD Athlon II X3 405e,1331,3430,11.79
AMD Athlon II X3 415e,1441,3357,19.21
AMD Athlon II X3 420e,1557,3270,13.4
AMD Athlon II X3 425,1576,3254,27.02
AMD Athlon II X3 435,1630,3216,10.19
AMD Athlon II X3 440,1712,3165,116.78
AMD Athlon II X3 445,1823,3095,121.61
AMD Athlon II X3 450,1847,3076,71.16
AMD Athlon II X3 455,1879,3059,72.94
AMD Athlon II X3 460,2008,2972,120.67
AMD Athlon II X4 553,2418,2724,
AMD Athlon II X4 555,2526,2666,
AMD Athlon II X4 557,2567,2646,
AMD Athlon II X4 559,2602,2623,
AMD Athlon II X4 600e,1795,3119,90.41
AMD Athlon II X4 605e,1997,2980,133.1
AMD Athlon II X4 610e,1964,2995,118.33
AMD Athlon II X4 615e,2000,2976,33.9
AMD Athlon II X4 620,2018,2965,36.73
AMD Athlon II X4 630,2153,2891,44.83
AMD Athlon II X4 631 Quad-Core,2122,2906,172.37
AMD Athlon II X4 635,2237,2842,38.56
AMD Athlon II X4 638 Quad-Core,2250,2827,35.79
AMD Athlon II X4 640,2245,2832,187.24
AMD Athlon II X4 641 Quad-Core,2313,2788,196.32
AMD Athlon II X4 645,2348,2770,36.67
AMD Athlon II X4 650,2426,2718,14.56
AMD Athlon II X4 651 Quad-Core,2500,2677,16.68
AMD Athlon II X4 655,2078,2931,
AMD Athlon L110,197,4712,
AMD Athlon LE-1600,412,4413,19.63
AMD Athlon LE-1620,421,4401,23.4
AMD Athlon LE-1640,430,4387,4.78
AMD Athlon LE-1660,416,4409,
AMD Athlon Neo MV-40,275,4601,
AMD Athlon Neo X2 Dual Core 6850e,456,4374,
AMD Athlon Neo X2 Dual Core L325,556,4270,
AMD Athlon Neo X2 Dual Core L335,529,4301,
AMD Athlon PRO 200GE,3693,2183,
AMD Athlon PRO 300GE,4308,2013,
AMD Athlon PRO 300U,4080,2073,
AMD Athlon PRO 3045B,2618,2614,
AMD Athlon Silver 3050C,2879,2504,
AMD Athlon Silver 3050e,2952,2472,
AMD Athlon Silver 3050GE,4545,1955,
AMD Athlon Silver 3050U,2992,2449,
AMD Athlon Silver 7120U,3209,2364,
AMD Athlon Silver PRO 3125GE,4633,1938,
AMD Athlon TF-20,265,4615,
AMD Athlon TF-36,338,4507,
AMD Athlon X2 215,996,3766,
AMD Athlon X2 240,921,3841,
AMD Athlon X2 240e,1015,3743,
AMD Athlon X2 250,855,3905,
AMD Athlon X2 255,938,3824,
AMD Athlon X2 280,1327,3439,39.63
AMD Athlon X2 340 Dual Core,1307,3452,13.76
AMD Athlon X2 370K Dual Core,1504,3317,
AMD Athlon X2 450,1295,3463,
AMD Athlon X2 Dual Core 3250e,357,4482,
AMD Athlon X2 Dual Core 6850e,564,4257,
AMD Athlon X2 Dual Core BE-2300,570,4247,6.34
AMD Athlon X2 Dual Core BE-2350,591,4221,6.23
AMD Athlon X2 Dual Core BE-2400,674,4131,
AMD Athlon X2 Dual Core L310,329,4529,
AMD Athlon X3 425,1516,3307,
AMD Athlon X3 435,1781,3126,18.65
AMD Athlon X3 440,1438,3358,16.35
AMD Athlon X3 445,1626,3219,
AMD Athlon X3 455,1783,3125,
AMD Athlon X4 530,1786,3122,
AMD Athlon X4 620,1810,3104,27.87
AMD Athlon X4 640,2115,2910,
AMD Athlon X4 730,2278,2808,
AMD Athlon X4 740 Quad Core,2626,2611,262.65
AMD Athlon X4 750 Quad Core,2625,2612,27.7
AMD Athlon X4 750K Quad Core,2861,2512,15.02
AMD Athlon X4 760K Quad Core,2971,2463,228.74
AMD Athlon X4 830,2901,2495,14.34
